Sample number, Date/Time,Channel 1 (°C)
401,9/3/2020 17:15:22,36.0603
402,9/3/2020 17:15:23,36.09308
403,9/3/2020 17:15:24,36.1221
404,9/3/2020 17:15:25,36.14032
405,9/3/2020 17:15:26,36.17675
406,9/3/2020 17:15:27,36.19118
407,9/3/2020 17:15:28,36.22021
408,9/3/2020 17:15:29,36.26028
409,9/3/2020 17:15:30,36.28579
410,9/3/2020 17:15:31,36.31116
411,9/3/2020 17:15:32,36.34395
412,9/3/2020 17:15:33,36.37295
413,9/3/2020 17:15:34,36.4021
414,9/3/2020 17:15:35,36.43488
415,9/3/2020 17:15:36,36.45675
416,9/3/2020 17:15:37,36.47849
417,9/3/2020 17:15:38,36.50764
418,9/3/2020 17:15:39,36.54408
419,9/3/2020 17:15:40,36.57322
420,9/3/2020 17:15:41,36.60223
421,9/3/2020 17:15:42,36.62774
422,9/3/2020 17:15:43,36.66053
423,9/3/2020 17:15:44,36.67861
424,9/3/2020 17:15:45,36.71505
425,9/3/2020 17:15:46,36.73677
426,9/3/2020 17:15:47,36.76956
427,9/3/2020 17:15:48,36.78778
428,9/3/2020 17:15:49,36.82057
429,9/3/2020 17:15:50,36.85336
430,9/3/2020 17:15:51,36.87144
431,9/3/2020 17:15:52,36.90788
432,9/3/2020 17:15:53,36.93689
433,9/3/2020 17:15:54,36.96253
434,9/3/2020 17:15:55,37.00261
435,9/3/2020 17:15:56,37.02811
436,9/3/2020 17:15:57,37.0609
437,9/3/2020 17:15:58,37.08992
438,9/3/2020 17:15:59,37.11542
439,9/3/2020 17:16:0,37.15172
440,9/3/2020 17:16:1,37.17722
441,9/3/2020 17:16:2,37.19908
442,9/3/2020 17:16:3,37.23187
443,9/3/2020 17:16:4,37.27559
444,9/3/2020 17:16:5,37.30461
445,9/3/2020 17:16:6,37.33727
446,9/3/2020 17:16:7,37.37006
447,9/3/2020 17:16:8,37.3992
448,9/3/2020 17:16:9,37.42471
449,9/3/2020 17:16:10,37.46101
450,9/3/2020 17:16:11,37.4938
451,9/3/2020 17:16:12,37.52295
452,9/3/2020 17:16:13,37.53752
453,9/3/2020 17:16:14,37.57382
454,9/3/2020 17:16:15,37.6139
455,9/3/2020 17:16:16,37.64291
456,9/3/2020 17:16:17,37.66113
457,9/3/2020 17:16:18,37.69392
458,9/3/2020 17:16:19,37.71929
459,9/3/2020 17:16:20,37.76301
460,9/3/2020 17:16:21,37.78487
461,9/3/2020 17:16:22,37.81402
462,9/3/2020 17:16:23,37.84304
463,9/3/2020 17:16:24,37.86867
464,9/3/2020 17:16:25,37.90848
465,9/3/2020 17:16:26,37.92305
466,9/3/2020 17:16:27,37.94855
467,9/3/2020 17:16:28,37.97042
468,9/3/2020 17:16:29,38.00308
469,9/3/2020 17:16:30,38.02129
470,9/3/2020 17:16:31,38.05408
471,9/3/2020 17:16:32,38.07959
472,9/3/2020 17:16:33,38.10509
473,9/3/2020 17:16:34,38.13424
474,9/3/2020 17:16:35,38.16689
475,9/3/2020 17:16:36,38.1924
476,9/3/2020 17:16:37,38.23248
477,9/3/2020 17:16:38,38.25433
478,9/3/2020 17:16:39,38.28335
479,9/3/2020 17:16:40,38.30885
480,9/3/2020 17:16:41,38.33436
481,9/3/2020 17:16:42,38.3635
482,9/3/2020 17:16:43,38.39629
483,9/3/2020 17:16:44,38.42167
484,9/3/2020 17:16:45,38.46174
485,9/3/2020 17:16:46,38.48725
486,9/3/2020 17:16:47,38.5164
487,9/3/2020 17:16:48,38.55269
488,9/3/2020 17:16:49,38.58184
489,9/3/2020 17:16:50,38.6145
490,9/3/2020 17:16:51,38.64365
491,9/3/2020 17:16:52,38.66186
492,9/3/2020 17:16:53,38.70194
493,9/3/2020 17:16:54,38.73109
494,9/3/2020 17:16:55,38.7748
495,9/3/2020 17:16:56,38.79653
496,9/3/2020 17:16:57,38.82568
497,9/3/2020 17:16:58,38.85118
498,9/3/2020 17:16:59,38.89126
499,9/3/2020 17:17:0,38.92041
500,9/3/2020 17:17:1,38.94591
501,9/3/2020 17:17:2,38.96413
502,9/3/2020 17:17:3,39.00772
503,9/3/2020 17:17:4,39.03335
504,9/3/2020 17:17:5,39.06237
505,9/3/2020 17:17:6,39.08058
506,9/3/2020 17:17:7,39.12066
507,9/3/2020 17:17:8,39.14252
508,9/3/2020 17:17:9,39.17531
509,9/3/2020 17:17:10,39.2081
510,9/3/2020 17:17:11,39.23347
511,9/3/2020 17:17:12,39.25169
512,9/3/2020 17:17:13,39.29176
513,9/3/2020 17:17:14,39.32442
514,9/3/2020 17:17:15,39.34993
515,9/3/2020 17:17:16,39.37166
516,9/3/2020 17:17:17,39.40796
517,9/3/2020 17:17:18,39.43346
518,9/3/2020 17:17:19,39.46989
519,9/3/2020 17:17:20,39.48071
520,9/3/2020 17:17:21,39.51715
521,9/3/2020 17:17:22,39.5498
522,9/3/2020 17:17:23,39.57531
523,9/3/2020 17:17:24,39.60445
524,9/3/2020 17:17:25,39.62996
525,9/3/2020 17:17:26,39.66275
526,9/3/2020 17:17:27,39.69189
527,9/3/2020 17:17:28,39.72455
528,9/3/2020 17:17:29,39.7537
529,9/3/2020 17:17:30,39.79013
530,9/3/2020 17:17:31,39.81186
531,9/3/2020 17:17:32,39.8483
532,9/3/2020 17:17:33,39.88108
533,9/3/2020 17:17:34,39.91387
534,9/3/2020 17:17:35,39.94667
535,9/3/2020 17:17:36,39.97581
536,9/3/2020 17:17:37,40.00843
537,9/3/2020 17:17:38,40.03381
538,9/3/2020 17:17:39,40.06281
539,9/3/2020 17:17:40,40.09907
540,9/3/2020 17:17:41,40.12082
541,9/3/2020 17:17:42,40.16055
542,9/3/2020 17:17:43,40.18956
543,9/3/2020 17:17:44,40.22234
544,9/3/2020 17:17:45,40.24757
545,9/3/2020 17:17:46,40.2802
546,9/3/2020 17:17:47,40.31283
547,9/3/2020 17:17:48,40.33821
548,9/3/2020 17:17:49,40.37461
549,9/3/2020 17:17:50,40.39259
550,9/3/2020 17:17:51,40.42159
551,9/3/2020 17:17:52,40.4506
552,9/3/2020 17:17:53,40.4796
553,9/3/2020 17:17:54,40.52311
554,9/3/2020 17:17:55,40.54113
555,9/3/2020 17:17:56,40.57013
556,9/3/2020 17:17:57,40.59551
557,9/3/2020 17:17:58,40.62814
558,9/3/2020 17:17:59,40.65352
559,9/3/2020 17:18:0,40.67527
560,9/3/2020 17:18:1,40.70778
